Albanie 0.429982 -0.786095 -0.063345 -1.118576
Algérie 0.100038 -0.668299 -0.393289 -1.000781
Angola -3.530900 1.365642 -4.024227 1.033161
Argentine 1.959963 -0.313592 1.466635 -0.646074
Arménie 2.520841 -0.717384 2.027514 -1.049865
Australie 4.261067 1.535846 3.767740 1.203365
Autriche 4.167812 1.610485 3.674485 1.278003
Azerbeidjan 2.367397 -0.172048 1.874070 -0.504530
Bangladesh -1.800061 -0.055887 -2.293388 -0.388369
Bélarus 3.190995 0.170575 2.697668 -0.161906
Belgique 4.446533 1.182715 3.953206 0.850233
Bénin -2.858727 0.690451 -3.352054 0.357969
Bolivie -0.530743 -0.098733 -1.024070 -0.431214
Botswana -1.420416 0.245858 -1.913743 -0.086624
Brésil 0.953266 -0.398704 0.459939 -0.731185
Bulgarie 3.487158 0.810449 2.993830 0.477968
Burkina_Faso -4.068390 1.628220 -4.561717 1.295739
Burundi -3.827500 1.385032 -4.320827 1.052551
Cambodge -3.435364 1.196851 -3.928691 0.864370
Cameroun -1.978094 0.431385 -2.471421 0.098904
Canada 3.478968 1.487226 2.985641 1.154745
Centrafrique -3.349664 1.096104 -3.842991 0.763623
Tchad -3.810322 1.258935 -4.303650 0.926454
Chili 1.840154 -0.990932 1.346827 -1.323413
Chine 0.631507 -0.796766 0.138179 -1.129248
Colombie 0.942237 -0.921797 0.448910 -1.254278
Congo -2.011877 0.800646 -2.505205 0.468164
Costa_Rica 1.371828 -0.927269 0.878501 -1.259750
Cote_d'Ivoire -2.435427 0.695774 -2.928754 0.363293
Croatie 1.868298 -0.274343 1.374971 -0.606824
République_Tchèque 3.770761 0.989963 3.277434 0.657482
Danemark 4.034196 1.008540 3.540869 0.676059
Equateur 0.611954 -0.786343 0.118627 -1.118824
Egypte -0.475148 -0.046751 -0.968475 -0.379232
El_Salvador -0.265253 -0.502850 -0.758580 -0.835331
Estonie 3.369614 0.757411 2.876287 0.424930
Ethiopie -4.157907 1.446100 -4.651234 1.113619
Finlande 3.527793 0.640872 3.034466 0.308390
France 4.255474 1.585426 3.762147 1.252945
Gabon -1.260105 0.419701 -1.753432 0.087220
Gambie -2.557956 0.579021 -3.051283 0.246539
Géorgie 2.431969 -0.705709 1.938641 -1.038190
Allemagne 4.751122 1.866329 4.257795 1.533848
Grèce 3.635790 0.467859 3.142463 0.135378
Guatemala -0.967195 -0.298467 -1.460522 -0.630948
Guinée -2.885182 0.855208 -3.378509 0.522727
Guinée-Bissau -3.568991 1.486340 -4.062318 1.153859
Haiti -2.605694 0.489835 -3.099021 0.157354
Honduras -0.549706 -0.621238 -1.043033 -0.953719
Hongrie 3.334516 0.697604 2.841189 0.365122
Inde -1.316753 -0.211550 -1.810080 -0.544031
Indonésie -0.622068 -0.789779 -1.115395 -1.122261
Iran 0.490578 -0.833799 -0.002749 -1.166280
Irlande 2.919439 0.263086 2.426111 -0.069395
Israel 3.850130 0.493088 3.356803 0.160607
Italie 4.698829 1.589522 4.205502 1.257041
Jamaique 0.824146 -0.762736 0.330819 -1.095217
Japon 4.482526 1.952623 3.989199 1.620142
Jordanie 0.841526 -0.790980 0.348199 -1.123461
Kazakhstan 1.945051 0.059631 1.451724 -0.272850
Kenya -2.004709 0.275414 -2.498036 -0.057067
Corée_du_Sud 2.505857 -0.015148 2.012530 -0.347629
Koweit 2.673435 0.186964 2.180108 -0.145517
Laos -2.975659 1.057819 -3.468986 0.725337
Liban 1.883935 -0.770885 1.390608 -1.103366
Lituanie 3.537054 0.797988 3.043727 0.465506
Madagascar -2.738967 0.589537 -3.232294 0.257056
Malawi -3.718924 1.454644 -4.212251 1.122163
Malaisie 1.224308 -0.571649 0.730981 -0.904130
Mali -3.709394 1.228794 -4.202721 0.896313
Mauritanie -2.351418 0.529796 -2.844745 0.197314
Ile_Maurice 1.104594 -0.545477 0.611267 -0.877959
Mexique 1.032845 -0.839293 0.539518 -1.171774
Mongolie 0.426290 0.922452 -0.067038 0.589971
Maroc -0.975273 -0.159961 -1.468600 -0.492443
Népal -2.859338 0.451756 -3.352665 0.119275
Pays-Bas 4.528461 1.644542 4.035134 1.312060
Nouvelle-Zélande 3.842418 1.165561 3.349091 0.833080
Nicaragua -0.230740 -0.666687 -0.724067 -0.999168
Niger -4.274010 1.611956 -4.767337 1.279475
Nigéria -2.366273 0.560183 -2.859601 0.227701
Norvège 4.672290 2.311628 4.178963 1.979147
Oman 0.450852 -0.319916 -0.042475 -0.652398
Pakistan -2.170070 0.408183 -2.663397 0.075702
Panama 1.219688 -0.741119 0.726361 -1.073600
Paraguay 0.166178 -0.935361 -0.327149 -1.267843
Pérou 0.465656 -0.899677 -0.027671 -1.232158
Philippines 0.080995 -1.139750 -0.412333 -1.472231
Pologne 2.705919 -0.079538 2.212592 -0.412020
Portugal 2.885221 0.613007 2.391894 0.280526
Roumanie 1.610415 0.083756 1.117087 -0.248725
Russie 3.351497 0.573408 2.858170 0.240927
Rwanda -3.479747 1.285225 -3.973074 0.952744
Arabie_Saoudite 0.827335 -0.260694 0.334008 -0.593175
Sénégal -2.635177 0.603271 -3.128505 0.270790
Sierra_Leone -4.011134 1.822928 -4.504461 1.490447
Singapour 3.194496 -0.342514 2.701169 -0.674995
Slovaquie 2.868840 0.395546 2.375513 0.063064
Slovénie 3.179058 0.782359 2.685731 0.449877
Espagne 3.987904 0.559660 3.494577 0.227179
Sri_Lanka -0.229464 -0.939472 -0.722791 -1.271953
Soudan -2.207752 0.317223 -2.701079 -0.015258
Suède 4.428278 1.294027 3.934951 0.961546
Suisse 5.389632 3.288262 4.896305 2.955781
Syrie 0.062431 -0.597355 -0.430896 -0.929837
Tadjikistan 0.661721 -0.069597 0.168393 -0.402078
Tanzanie -2.586344 0.524889 -3.079671 0.192408
Thailande 0.444294 -1.080539 -0.049033 -1.413020
Togo -2.374280 0.624298 -2.867607 0.291817
Tunisie 0.684068 -1.004951 0.190741 -1.337432
Turquie 0.631108 -0.124723 0.137781 -0.457205
Turkménistan 0.407911 0.354489 -0.085416 0.022008
Ouganda -3.631744 1.182637 -4.125071 0.850156
Ukraine 2.436659 0.382222 1.943332 0.049741
Emirats_Arabes_Unis 1.830843 -0.537113 1.337516 -0.869595
Royaume-Uni 3.689171 0.710930 3.195844 0.378448
Etats-Unis 4.009614 1.414744 3.516287 1.082263
Uruguay 2.948281 -0.267964 2.454954 -0.600446
Ouzbékistan 0.885937 0.080696 0.392610 -0.251786
Vénézuela 1.503735 -0.918789 1.010408 -1.251270
Vietnam -0.623547 -0.490685 -1.116874 -0.823166
Yémen -2.589731 0.608990 -3.083058 0.276509
Zambie -2.674843 1.218908 -3.168170 0.886427
Zimbabwe -1.352135 -0.140459 -1.845462 -0.472940
