0 4 22.07
0 14 0.13
0 30 68.59
0 31 9.18
0 34 0.03
1 4 0.21
1 9 0.94
1 14 0.15
1 19 20.49
1 29 0.17
1 30 8.44
1 31 14.88
1 32 0.75
1 33 53.68
1 34 0.29
2 4 0.19
2 9 20.62
2 14 0.03
2 19 0.99
2 29 0.48
2 30 0.75
2 31 53.74
2 32 6.79
2 33 16.31
2 34 0.10
3 4 0.28
3 9 0.04
3 11 8.32
3 12 6.63
3 14 4.92
3 19 0.42
3 29 1.85
3 30 1.42
3 31 0.51
3 32 69.74
3 33 5.80
3 34 0.07
4 4 1.47
4 9 0.09
4 10 2.39
4 11 5.53
4 12 10.91
4 14 1.14
4 19 0.36
4 29 46.69
4 30 0.58
4 31 0.74
4 32 0.47
4 33 1.80
4 34 0.65
4 39 0.59
4 49 26.59
5 4 0.64
5 7 3.90
5 9 0.43
5 10 8.39
5 11 2.41
5 12 2.36
5 14 2.64
5 19 1.49
5 24 0.13
5 26 0.01
5 29 7.74
5 30 0.48
5 31 0.88
5 32 0.27
5 33 0.70
5 34 0.25
5 39 35.71
5 49 12.25
5 54 19.32
6 4 0.38
6 7 9.71
6 9 1.43
6 10 0.06
6 11 1.44
6 12 0.06
6 13 5.35
6 14 0.01
6 17 2.82
6 19 0.51
6 24 29.93
6 26 0.05
6 29 0.98
6 30 0.67
6 31 0.39
6 32 1.37
6 33 0.42
6 34 0.56
6 39 4.85
6 49 5.58
6 54 14.87
6 59 18.56
7 2 2.65
7 4 0.31
7 7 4.70
7 9 0.52
7 10 2.46
7 11 1.45
7 12 0.24
7 13 1.68
7 14 3.08
7 17 3.80
7 19 0.45
7 24 3.77
7 26 0.48
7 29 14.07
7 30 0.84
7 31 0.42
7 32 0.19
7 33 1.26
7 34 22.99
7 39 0.51
7 44 6.05
7 49 5.77
7 54 7.04
7 59 15.27
8 2 3.27
8 4 0.65
8 7 0.10
8 9 0.40
8 10 1.76
8 11 3.28
8 12 0.49
8 13 1.13
8 14 2.72
8 17 7.25
8 19 0.25
8 24 0.36
8 26 0.50
8 27 13.21
8 29 6.24
8 30 0.61
8 31 0.34
8 32 0.52
8 33 0.99
8 34 2.14
8 39 10.47
8 44 18.37
8 49 11.10
8 54 6.72
8 59 7.13
9 2 3.90
9 4 0.27
9 6 4.32
9 7 0.07
9 9 0.25
9 10 2.50
9 11 0.36
9 12 1.18
9 13 1.22
9 14 2.87
9 17 3.81
9 19 0.74
9 24 6.81
9 26 11.70
9 27 1.27
9 29 0.40
9 30 0.14
9 31 0.92
9 32 0.53
9 33 0.65
9 34 0.08
9 36 0.42
9 39 24.90
9 44 10.20
9 49 1.35
9 54 9.30
9 59 9.84
10 1 1.41
10 2 7.52
10 4 0.29
10 6 4.40
10 7 0.50
10 9 0.60
10 10 1.26
10 11 0.34
10 12 0.51
10 13 2.43
10 14 0.08
10 16 1.82
10 17 0.05
10 19 0.23
10 21 0.15
10 24 34.94
10 25 11.42
10 26 0.52
10 27 0.03
10 29 0.40
10 30 0.20
10 31 0.51
10 32 0.85
10 33 0.36
10 34 3.91
10 36 0.09
10 37 0.17
10 39 0.48
10 44 9.44
10 49 1.26
10 54 3.31
10 59 10.52
11 1 1.75
11 2 0.11
11 4 1.12
11 6 8.47
11 7 1.05
11 9 0.30
11 10 0.45
11 11 0.31
11 12 0.60
11 13 2.29
11 14 0.40
11 16 4.87
11 17 0.25
11 19 0.25
11 21 0.04
11 24 0.58
11 25 0.83
11 26 0.06
11 27 1.50
11 28 2.98
11 29 1.15
11 30 0.14
11 31 0.24
11 32 0.61
11 33 0.12
11 34 42.96
11 36 0.12
11 37 8.05
11 39 0.73
11 44 14.09
11 49 0.87
11 54 1.54
11 59 1.17
12 1 3.17
12 2 0.05
12 4 5.02
12 5 0.06
12 6 0.17
12 7 0.60
12 9 0.31
12 10 3.46
12 11 0.41
12 12 0.43
12 13 0.71
12 14 0.35
12 16 9.71
12 17 0.86
12 19 0.82
12 20 0.05
12 21 0.18
12 24 0.71
12 25 0.20
12 26 1.37
12 27 50.74
12 28 4.45
12 29 0.88
12 30 0.67
12 31 0.11
12 32 0.22
12 33 0.16
12 34 0.90
12 36 3.86
12 37 3.09
12 39 0.53
12 44 1.78
12 49 0.79
12 52 0.91
12 54 1.26
12 59 1.01
13 1 7.10
13 2 0.30
13 4 1.05
13 5 6.92
13 6 0.28
13 7 0.27
13 9 0.80
13 10 0.50
13 11 0.27
13 12 0.14
13 13 2.50
13 14 0.64
13 16 0.13
13 17 0.66
13 19 4.91
13 20 0.14
13 21 0.24
13 22 3.55
13 24 0.73
13 25 1.14
13 26 47.92
13 27 1.97
13 28 0.53
13 29 0.27
13 30 0.15
13 31 0.36
13 32 0.24
13 33 0.49
13 34 0.58
13 36 6.32
13 37 0.35
13 39 1.22
13 44 1.51
13 49 1.08
13 52 3.02
13 54 0.94
13 59 0.78
14 1 2.79
14 2 0.78
14 4 0.93
14 5 9.19
14 6 0.45
14 7 0.74
14 9 4.80
14 10 0.38
14 11 0.59
14 12 0.15
14 13 1.08
14 14 0.38
14 15 3.28
14 16 0.04
14 17 0.36
14 19 1.15
14 20 0.13
14 21 2.31
14 22 7.23
14 24 0.59
14 25 38.50
14 26 4.89
14 27 0.45
14 28 8.83
14 29 0.29
14 30 0.27
14 31 0.54
14 32 0.14
14 33 0.39
14 34 1.19
14 36 0.34
14 37 0.23
14 39 0.45
14 44 1.04
14 49 0.71
14 52 2.76
14 54 0.83
14 59 0.80
15 0 2.53
15 1 0.09
15 2 0.72
15 4 0.09
15 5 0.05
15 6 0.60
15 7 0.29
15 8 4.11
15 9 1.09
15 10 2.13
15 11 2.95
15 12 0.29
15 13 1.14
15 14 0.61
15 15 8.26
15 16 0.30
15 17 0.35
15 19 0.81
15 20 0.16
15 21 2.99
15 22 0.31
15 24 0.44
15 25 7.53
15 26 0.52
15 27 1.80
15 28 45.71
15 29 0.18
15 30 0.36
15 31 0.10
15 32 0.64
15 33 0.24
15 34 0.35
15 35 6.69
15 36 0.08
15 37 0.99
15 39 0.47
15 44 0.55
15 47 0.44
15 49 0.92
15 52 0.08
15 54 1.29
15 59 0.75
16 0 4.65
16 1 0.11
16 2 0.34
16 4 1.00
16 5 0.42
16 6 0.50
16 7 0.20
16 8 4.33
16 9 0.88
16 10 3.33
16 11 2.20
16 12 0.59
16 13 3.00
16 14 0.61
16 15 3.95
16 16 0.72
16 17 0.43
16 19 0.09
16 20 1.52
16 21 4.24
16 22 0.06
16 24 0.59
16 25 6.82
16 26 1.66
16 27 0.20
16 28 1.98
16 29 0.53
16 30 0.23
16 31 0.39
16 32 0.17
16 33 0.52
16 34 0.53
16 35 3.83
16 36 0.74
16 37 42.10
16 39 0.18
16 44 1.33
16 47 0.05
16 49 0.42
16 52 2.71
16 54 0.48
16 59 1.37
17 0 7.54
17 1 0.48
17 2 0.48
17 3 0.06
17 4 1.19
17 5 0.52
17 6 0.32
17 7 0.16
17 8 7.11
17 9 0.07
17 10 1.14
17 11 0.98
17 12 1.99
17 13 2.42
17 14 0.18
17 15 0.04
17 16 0.53
17 17 0.37
17 18 0.36
17 19 0.79
17 20 5.47
17 21 0.35
17 22 0.73
17 24 0.91
17 25 2.24
17 26 0.33
17 27 0.92
17 28 2.47
17 29 0.19
17 30 0.36
17 31 0.18
17 32 0.26
17 33 0.46
17 34 0.43
17 35 0.03
17 36 38.64
17 37 8.04
17 38 2.29
17 39 0.80
17 44 0.89
17 47 1.86
17 49 0.45
17 52 3.43
17 54 1.03
17 59 0.51
18 0 0.44
18 1 0.60
18 2 0.52
18 3 2.02
18 4 0.37
18 5 0.57
18 6 0.50
18 7 0.40
18 8 0.37
18 9 0.78
18 10 0.47
18 11 0.51
18 12 2.51
18 13 2.94
18 14 0.09
18 15 0.02
18 16 0.29
18 17 0.20
18 18 12.47
18 19 1.00
18 20 2.20
18 21 0.15
18 22 40.62
18 24 0.73
18 25 0.35
18 26 0.66
18 27 0.52
18 28 1.66
18 29 0.32
18 30 0.12
18 31 0.41
18 32 0.32
18 33 0.18
18 34 1.17
18 35 0.71
18 36 5.45
18 37 2.66
18 38 7.77
18 39 0.20
18 44 1.17
18 47 3.47
18 49 0.45
18 51 0.40
18 52 0.30
18 54 0.18
18 59 0.76
19 0 0.06
19 1 0.51
19 2 0.14
19 3 12.61
19 4 0.78
19 5 0.34
19 6 0.51
19 7 2.74
19 8 0.70
19 9 0.95
19 10 0.67
19 11 0.34
19 12 0.79
19 13 1.00
19 14 0.13
19 15 0.34
19 16 0.39
19 17 0.28
19 18 2.11
19 19 0.49
19 20 0.23
19 21 0.70
19 22 9.45
19 23 9.06
19 24 0.28
19 25 0.67
19 26 0.92
19 27 2.52
19 28 0.33
19 29 0.39
19 30 0.26
19 31 0.23
19 32 0.32
19 33 0.21
19 34 1.08
19 35 36.24
19 36 2.54
19 37 2.11
19 38 0.08
19 39 0.23
19 44 0.58
19 47 0.05
19 49 0.82
19 51 1.41
19 52 2.44
19 54 0.61
19 59 0.36
20 0 0.11
20 1 0.37
20 2 0.12
20 3 0.04
20 4 0.72
20 5 0.29
20 6 0.29
20 7 0.87
20 8 0.46
20 9 0.41
20 10 0.84
20 11 0.91
20 12 0.69
20 13 0.47
20 14 0.22
20 15 0.82
20 16 0.63
20 17 2.34
20 18 0.12
20 19 0.82
20 20 0.13
20 21 23.12
20 22 2.48
20 23 0.41
20 24 0.26
20 25 0.81
20 26 2.65
20 27 1.42
20 28 0.64
20 29 0.30
20 30 7.64
20 31 7.12
20 32 0.30
20 33 0.30
20 34 0.44
20 35 6.44
20 36 5.78
20 37 0.36
20 38 13.52
20 39 0.39
20 44 0.42
20 47 2.78
20 49 8.08
20 51 0.01
20 52 0.41
20 54 0.55
20 57 0.12
20 59 1.58
21 0 0.53
21 1 0.61
21 2 0.29
21 3 0.10
21 4 0.36
21 5 0.31
21 6 1.67
21 7 0.67
21 8 0.32
21 9 0.76
21 10 0.56
21 11 0.47
21 12 0.25
21 13 0.56
21 14 0.77
21 15 0.38
21 16 0.21
21 17 0.72
21 18 0.44
21 19 0.82
21 20 0.74
21 21 13.01
21 22 2.00
21 23 0.04
21 24 0.57
21 25 2.91
21 26 1.61
21 27 0.46
21 28 0.75
21 29 0.51
21 30 5.81
21 31 6.85
21 32 0.95
21 33 1.04
21 34 0.46
21 35 4.94
21 36 2.47
21 37 0.85
21 38 29.68
21 39 0.41
21 44 0.40
21 47 0.15
21 49 1.16
21 51 2.05
21 52 0.23
21 54 0.70
21 59 8.45
22 0 0.46
22 1 0.30
22 2 2.21
22 3 0.12
22 4 0.51
22 5 0.76
22 6 0.60
22 7 0.08
22 8 0.25
22 9 0.84
22 10 0.56
22 11 0.58
22 12 0.73
22 13 0.89
22 14 0.34
22 15 0.36
22 16 0.11
22 17 0.61
22 18 0.72
22 19 0.29
22 20 33.54
22 21 6.22
22 22 0.60
22 23 0.62
22 24 0.30
22 25 1.74
22 26 0.47
22 27 0.23
22 28 2.90
22 29 0.66
22 30 0.62
22 31 0.96
22 32 5.29
22 33 7.66
22 34 0.50
22 35 4.07
22 36 0.84
22 37 0.83
22 38 5.19
22 39 0.35
22 44 0.81
22 47 0.37
22 49 0.14
22 51 0.04
22 52 2.59
22 54 9.33
22 57 1.46
22 59 0.35
23 0 0.45
23 1 0.05
23 2 0.70
23 3 0.81
23 4 0.37
23 5 0.19
23 6 1.02
23 7 0.72
23 8 0.34
23 9 0.24
23 10 0.78
23 11 0.45
23 12 0.80
23 13 0.53
23 14 1.96
23 15 0.72
23 16 0.33
23 17 0.10
23 18 0.30
23 19 0.61
23 20 5.55
23 21 5.63
23 22 0.63
23 23 33.82
23 24 0.37
23 25 0.54
23 26 0.21
23 27 0.32
23 28 1.69
23 29 2.02
23 30 0.22
23 32 9.06
23 33 3.75
23 34 0.52
23 35 2.32
23 36 0.77
23 37 2.85
23 38 3.41
23 39 0.12
23 42 0.22
23 44 9.91
23 47 2.83
23 49 0.65
23 51 0.25
23 52 0.42
23 54 0.20
23 57 0.01
23 59 0.24
24 0 0.52
24 1 0.12
24 2 0.47
24 3 0.38
24 4 8.16
24 5 1.55
24 6 0.24
24 7 0.73
24 8 0.52
24 9 0.65
24 10 0.26
24 11 0.47
24 12 0.60
24 13 0.53
24 14 0.45
24 15 0.24
24 16 0.80
24 17 0.43
24 18 0.21
24 19 0.36
24 20 5.33
24 21 3.28
24 22 0.77
24 23 5.54
24 24 0.24
24 25 0.24
24 26 0.34
24 27 0.82
24 28 0.47
24 29 13.29
24 30 0.24
24 33 0.78
24 34 0.98
24 35 0.93
24 36 3.29
24 37 2.03
24 38 2.96
24 39 1.05
24 44 0.31
24 46 0.12
24 47 0.36
24 49 0.28
24 51 1.99
24 52 35.63
24 54 0.31
24 57 0.34
24 59 0.39
25 0 0.48
25 1 0.36
25 2 0.13
25 3 0.30
25 4 1.37
25 5 0.96
25 6 0.57
25 7 0.26
25 8 0.32
25 9 0.64
25 10 0.28
25 11 0.49
25 12 0.49
25 13 0.64
25 14 0.49
25 15 0.13
25 16 1.54
25 17 0.91
25 18 0.35
25 19 8.04
25 20 2.86
25 21 2.46
25 22 3.25
25 23 5.37
25 24 0.30
25 25 0.30
25 26 0.95
25 27 0.29
25 28 0.25
25 30 0.08
25 33 0.19
25 34 0.70
25 35 0.78
25 36 2.06
25 37 0.44
25 38 0.98
25 39 15.36
25 42 0.88
25 44 0.16
25 47 38.73
25 49 0.29
25 51 0.17
25 52 0.68
25 54 0.55
25 57 2.80
25 59 0.37
26 0 0.24
26 1 0.82
26 2 0.46
26 3 0.29
26 4 2.01
26 5 0.55
26 6 0.73
26 7 1.04
26 8 1.45
26 9 8.01
26 10 0.66
26 11 0.49
26 12 0.36
26 13 0.14
26 14 0.17
26 15 0.12
26 16 0.42
26 17 0.16
26 18 0.55
26 19 1.45
26 20 2.90
26 21 1.34
26 22 2.07
26 23 2.86
26 24 15.66
26 25 1.04
26 26 0.27
26 27 0.39
26 28 0.26
26 30 0.05
26 33 0.14
26 34 0.67
26 35 2.97
26 36 0.47
26 37 0.27
26 38 0.66
26 42 7.19
26 44 0.69
26 46 0.03
26 47 1.45
26 49 0.36
26 51 2.35
26 52 0.60
26 54 0.25
26 57 34.55
26 59 0.39
27 0 0.08
27 1 1.46
27 2 0.80
27 3 0.56
27 4 0.76
27 5 0.22
27 6 0.13
27 7 0.23
27 8 1.13
27 9 1.32
27 10 0.53
27 11 5.16
27 12 2.52
27 13 0.40
27 14 1.70
27 15 0.24
27 16 0.34
27 17 1.00
27 18 0.26
