8 7 3 14 4 11 15 0 5 6 2 9 10 13 16 12 1 0.170350688053 0.235882496455 0.255876867531 0.213913108757 0.123976839205
11 14 6 10 8 0 15 4 5 3 12 13 9 16 7 2 1 0.538171068531 0.37672113883 0.0384187965644 0.0166682915907 0.0300207044836
15 3 4 11 14 9 7 10 0 13 16 6 5 8 12 1 2 0.0278560502359 0.38710640641 0.0529075583032 0.341354056297 0.190775928754
6 8 0 9 2 5 11 7 14 1 4 3 15 10 13 12 16 0.425768916933 0.0462025383083 0.0343843865527 0.162330443315 0.331313714891
6 8 11 14 0 5 2 10 9 4 7 13 15 3 12 1 16 0.715519138691 0.0699758881945 0.111775415684 0.0176880283995 0.0850415290305
8 7 6 0 5 9 2 11 4 3 14 15 1 13 10 12 16 0.238890992218 0.155083749631 0.163020078362 0.213755988021 0.229249191767
14 11 10 15 6 3 0 16 4 8 12 5 13 9 7 1 2 0.255129900238 0.58175881903 0.0713156915213 0.0313168177575 0.0604787714533
8 7 2 5 0 3 4 6 9 15 14 11 13 1 10 12 16 0.145385932423 0.13405721273 0.278407735427 0.262354138924 0.179794980496
8 7 2 5 0 6 14 9 11 4 3 1 13 15 10 12 16 0.204445034819 0.0525037096092 0.535816744276 0.0910110030736 0.116223508222
8 7 2 5 0 6 14 1 9 4 3 13 11 12 10 16 15 0.117485876052 0.0060158281105 0.760680570817 0.0223433104842 0.0934744145366
8 7 14 11 5 6 0 2 10 15 4 3 9 13 12 16 1 0.233555371698 0.268682467383 0.352759955592 0.0597505083634 0.0852516969642
3 4 15 11 7 14 8 13 10 0 6 5 9 2 16 12 1 0.134868934638 0.271023225019 0.171638097084 0.332098478907 0.0903712643528
7 8 0 9 5 6 14 1 15 11 10 2 3 4 16 12 13 0.0199961406766 0.361419207887 0.185995491009 0.0729253221129 0.359663838315
7 3 4 8 9 2 0 6 15 5 1 13 11 14 10 12 16 0.154647815196 0.0934121547304 0.119570328028 0.365021997277 0.267347704769
8 0 7 6 9 14 5 11 15 10 3 1 4 2 16 12 13 0.109479432509 0.368854541519 0.137279594762 0.0707039289676 0.313682502242
6 8 0 11 14 5 2 9 7 10 1 4 15 3 13 12 16 0.5567157772 0.0822562086841 0.0722026939348 0.050052236741 0.23877308344
8 7 0 5 2 9 6 1 14 11 3 4 10 15 12 13 16 0.0886230005571 0.0824450953027 0.307509918888 0.0279053511741 0.493516634078
8 7 14 11 15 3 0 4 6 5 10 9 13 2 16 12 1 0.136128293219 0.325142025577 0.212572658606 0.176549042721 0.149607979877
11 14 8 6 10 15 4 0 3 5 7 13 12 16 2 9 1 0.36068167219 0.318533536733 0.204506086038 0.102454670701 0.0138240343384
11 14 6 15 4 3 8 10 0 5 9 13 7 12 16 2 1 0.342130534319 0.307736661062 0.067851249393 0.1828026356 0.0994789196252
